0, 0.0
1, 0.0
2, 0.0
3, 0.02
4, 0.03
5, 0.03
6, 0.06
7, 0.08
8, 0.14
9, 0.14
10, 0.08
11, 0.11
12, 0.15
13, 0.13
14, 0.22
15, 0.27
16, 0.15
17, 0.27
18, 0.24
19, 0.34
20, 0.25
21, 0.37
22, 0.38
23, 0.4
24, 0.4
25, 0.42
26, 0.33
27, 0.38
28, 0.46
29, 0.4
30, 0.36
31, 0.5
32, 0.49
33, 0.5
34, 0.53
35, 0.49
36, 0.51
37, 0.47
38, 0.5
39, 0.45
40, 0.57
41, 0.48
42, 0.48
43, 0.44
44, 0.44
45, 0.44
46, 0.53
47, 0.47
48, 0.47
49, 0.45
50, 0.53
51, 0.5
52, 0.49
53, 0.44
54, 0.5
55, 0.47
56, 0.53
57, 0.55
58, 0.53
59, 0.41
60, 0.41
61, 0.55
62, 0.49
63, 0.54
64, 0.53
65, 0.49
66, 0.57
67, 0.56
68, 0.52
69, 0.56
70, 0.56
71, 0.48
72, 0.54
73, 0.65
74, 0.65
75, 0.61
76, 0.68
77, 0.61
78, 0.59
79, 0.65
80, 0.68
81, 0.7
82, 0.65
83, 0.73
84, 0.78
85, 0.82
86, 0.76
87, 0.79
88, 0.81
89, 0.84
90, 0.9
91, 0.89
92, 0.91
93, 0.93
94, 0.94
95, 0.99
96, 0.98
97, 1.0
98, 1.0
99, 1.0
